text,named_ents
what pay or salary do you expect to be getting then? £ ... per week,[]
ref. no.,[]
"what clubs do you belong to? how often do you go? scouts, guides, cadets ... times a month",[]
what are the main things you do in your spare time?,[]
"what will you have to do to get that job? what jobs will you have to do first, what exams must you pass, and so on?","[('first', 72, 77, 'ORDINAL')]"
"is there anything about your job, or your life in general which causes you a lot of worry?",[]
what is your present job?,[]
what clubs do you belong to? how often do you go? other youth club ... times a month,[]
"what clubs do you belong to? how often do you go? youth club, run by church ... times a month",[]
what clubs do you belong to? how often do you go? sports club ... times a month,[]
what clubs do you belong to? how often do you go?,[]
who organises them?,[]
what clubs do you belong to? how often do you go? club connected with work ... times a month,[]
has anything important happened to you or to your family since january 1961 that you haven't been asked about today? would you like to say what it was?,"[('january 1961', 63, 75, 'DATE'), ('today', 110, 115, 'DATE')]"
what job do you expect to have when you're 25?,[]
do you have trouble with your sleep?,[]
do they go to evening classes?,"[('evening', 14, 21, 'TIME')]"
"what are your close friends doing now, mostly?",[]
"what else do you want for yourself at 25, apart from that job?","[('25', 38, 40, 'DATE')]"
name and address,[]
what games or sports do you take part in nowadays? [if any],[]
what do you like most about your job?,[]
"now do the same for the next lot of sentences. remember, read them all first. ","[('first', 71, 76, 'ORDINAL')]"
"read the following sentences, and then decide which one is right for you. put a circle round the number opposite the one you choose,",[]
what sort of trouble do you have?,[]
"think about all the things that are part of your job: the actual work, the pay, the conditions of heating, lighting and ventilation, the way you are supervised, the people you work with, and so on, and then circle the number against the one sentence that most nearly describes the way you feel about your job.",[]
what do you dislike most about it?,[]
"how much do you earn a week, approximately? where does your pay, that is what you actually take home in your pay packet after tax and insurance have been deducted, fit in this scale?",[]
position,[]
date,[]
signature,[]
local education authority,[]
name of school,[]
"are there any special conditions governing entry to this school - e.g., priority for certain groups of children, mentally or physically handicapped, etc. ?",[]
classification of school,[]
"number of pupils on the roll of the school on 31 january, 1957 ... pupils","[('31 january, 1957', 46, 62, 'DATE')]"
does this school have the following:- assembly hall,[]
how many of the children enumerated in (a) above were awarded places in a grammar school or grammar course ? ... children,[]
does this school have the following:- adequate playgrounds,[]
does this school have the following:- adequate sanitation,[]
does this school have the following:- running hot water,[]
age of buildings date of main building,[]
does this school have the following:- head teacher's study,[]
religious denomination of school,[]
does this school have the following:- separate dining hall or canteen,[]
does this school have the following:- electric light,[]
locality of school,[]
type of school,[]
"number of full-time teachers on the staff of the school on 31 january, 1957, ... teachers","[('31 january, 1957', 59, 75, 'DATE')]"
how many children in this school were eligible to take the education authority's selection tests for secondary schools during the school year 1956/7 ? ... children,"[('the school year 1956/7', 126, 148, 'DATE')]"
how many of the children enumerated in (a) above took these tests ? ... children,[]
is this school the junior or preparatory department of a secondary school ?,[]
please give details,[]
please give the name of the secondary school,[]
this questionnaire was completed by: (tick all that apply) mother,[]
please give the date of birth of your child:,[]
please give the date on which you completed this questionnaire:,[]
space for any additional comments you would like to make,[]
this questionnaire was completed by: (tick all that apply) other (please describe),[]
this questionnaire was completed by: (tick all that apply) father,[]
when he gets home from school how does he behave? excited,[]
all children get dirty. how often when he's at home: are his hands washed or wiped?,[]
how does he feel about school? he likes his class teacher (s),[]
how far away is the school?,[]
when he gets home from school how does he behave? anxious,[]
does he usually go straight home?,[]
about how often does your child do the following during term time: go swimming,[]
about how often does your child do the following during term time: see his grandparents,[]
when he gets home from school how does he behave? sleepy,[]
how does he feel about school? he seems bored by school,[]
how often during a day is he in a room or enclosed place where people are smoking: weekends,[]
has he had his ear or ears pierced?,[]
has he visited the dentist in the last 12 months?,"[('the last 12 months', 30, 48, 'DATE')]"
has anyone thought that there might be a problem with his talking since his 4th birthday?,"[('4th', 76, 79, 'ORDINAL')]"
how does he feel about school? he talks about his friends,[]
since his 4th birthday has anyone thought there might be a problem with his growth?,"[('4th', 10, 13, 'ORDINAL')]"
when he gets home from school how does he behave? talkative,[]
have any of his first (milk) teeth fallen out?,"[('first', 16, 21, 'ORDINAL')]"
how much milk does your child usually drink on a school day?,"[('a school day', 47, 59, 'DATE')]"
"which of the following statements best describes your study child's attitude to eating slices or chunks of meat that need chewing e.g. a slice of chicken, or lamb or pork chop or chunks of meat in stew?",[]
has he ever had a dental x-ray?,[]
"when your study child is offered vegetables e.g: carrots, green vegetables, peas, sweetcorn etc. (not including potatoes, pasta, tinned spaghetti, baked beans, or rice) which of the following statements best describes his attitude to eating them?",[]
when would you say is his main meal of the day? on weekdays,"[('weekdays', 51, 59, 'DATE')]"
about how often does your child do the following during term time: go to sunday school or other religious group,"[('sunday', 73, 79, 'DATE')]"
all children get dirty. how often when he's at home: is his face washed?,[]
how does he feel about school? he is frightened by it,[]
has he had any other accidents or injuries since he was 4 1/2 years old?,"[('4 1/2 years old', 56, 71, 'DATE')]"
how many children in his class did he know before attending this school?,[]
has he been burnt or scalded since he was 4 1/2 years old?,"[('4 1/2 years old', 42, 57, 'DATE')]"
"children are often difficult about eating certain foods. when your study child is difficult about a certain food you would like him to eat, how far do the following sentences describe how you deal with this?",[]
when he gets home from school how does he behave? tearful,[]
how does he get there? other (please describe),[]
